,id,S4Q12,S4Q12a,diff,reas
51,94,No,The whole trust thing,1,-1
52,95,No,They're not trustworthy,1,-1
53,101,No,It doesn't make a difference,0,99
54,102,No,Things don't always stay confidential,1,-1
55,103,No,View other women as peers,0,99
56,104,No,Didn't matter,0,99
57,105,Either way it would've been fine,"Personally, I know the work you're doing is trying to improve the yard",0,99
58,106,No,I'd have to know them really well,1,-1
59,107,No,It would've been okay,0,99
60,108,No,"I feel more comfortable talking to someone from the streets, not that there was any super sensitive information",1,1
61,109,Absolutely not,Need the 3rd party to look in on us,1,-1
62,110,No,Rather do it with someone not in Cruz but overall doesn't matter,0,99
63,111,No,people are cruz would use the information against you,1,-1
64,112,no,they might talk about my answers with others,1,-1
65,113,no,because not real comfortable discussing this information with others in the unit,1,-1
66,114,It would not have made a difference,"In this kind of situation, I'm just as comfortable talking to an inmate",0,99
67,115,no,this was enjoyable,0,99
68,116,no,"doesn't matter, very social person",0,99
69,118,No not really,Doesn't matter,0,99
70,119,No,Can't trust all of them (the women at Cruz),1,-1
71,120,No,Would prefer an ASU researcher,1,-1
72,121,No,"It doesn't matter, as long as people can relate on some level",0,99
73,122,No,It doesn't make a difference,0,99
74,123,No,Easier to talk to people who aren't incarcerated because I'm not institutionalized,1,-1
75,124,No,Because I don't trust people,1,-1
76,125,No,Because of the gossip,1,-1
77,126,No,I don't trust them,1,-1
78,127,No,Depends on the person; in here you have to know who's with you and who's not because the simplest thing can be used against you,1,-1
79,128,No,There's a lot of people on the yard I don't feel comfortable with,1,-1
80,129,No,Some of the girls are very fake; you have to walk the walk to get her respect/trust,1,-1
81,130,No,"Feels like it would've been more of a debate, more talking/chatting rather than getting it done",1,-1
82,131,No,I don't trust these girls; depends on who it would be,1,-1
83,132,No,You can't trust if people will share; they're your peers so would have to act cool,1,-1
84,133,No,Doesn't matter; sometimes want to talk to someone who has been through the same thing as you,0,99
85,134,No,Having an outside person get information and can share it with the world to make change,1,-1
86,135,No,"In my experience, incarcerated women are out for themselves; always something to gain for themselves",1,-1
87,137,No,I'm open; it doesn't matter,0,99
88,147,No,Wouldn't feel comfortable sharing with people she doesn't really know in hereq,1,-1
89,151,Yes,Because it would have been better,1,1
90,152,No,What my answers were for the trust questions,1,-1
91,166,No,"""You're very nice""; different face",1,-1
92,167,No,I don't know; might not be comfortable; want to protect my privacy; can't even feel comfortable telling your race/ethnicity to someone in here,1,-1
93,168,No,Doesn't matter,0,99
94,169,No,No trust,1,-1
95,175,No,I don't know,99,99
96,176,No,Always good to see outside perspective,0,99
97,177,Probably not,Sometimes better to share info with different people; I feel the information will actually get something,0,99
98,178,No,Know that ASU rep has experience and feels safe saying whatever she wants to us,0,99
99,179,No,Whatever you tell them usually ends up back on the yard,1,-1
100,181,Doesn't matter,When people ask me questions will be honest regardless,0,99
101,186,No I wouldn't be comfortable talking and sharing with a woman incarcerated here,The trust questions; people will spread information,1,-1
